,Name,RA,Dec,r,theta,radius.kpc,x,y,Fe_H,error,v_helio,error2,V_M31,V_sig
89,B461-G131,10.51766667,42.05738889,0.8,351.06,10.9,-0.1239,0.7883,-0.6,0.2,-296.5,7.5,5.8,8.1
90,B041D,10.51966667,41.27980556,0.12,274.91,1.7,-0.1239,0.0106,-1.8,0.5,-213,1.7,88.2,3.4
91,B070-G133,10.52879167,41.13230556,0.18,220.61,2.5,-0.1173,-0.1369,-1.9,0.2,-223.4,0.6,77.6,3.1
92,B071,10.52970833,41.20333333,0.13,240.53,1.8,-0.1165,-0.0658,-0.2,0.2,-554.4,0.7,-253.3,3.1
93,B073-G134,10.53054167,40.98925,0.3,202.56,4.1,-0.1163,-0.2799,-0.6,0.2,-502.2,0.4,-201.4,3
94,B072,10.531,41.37988889,0.16,313.85,2.2,-0.1152,0.1107,-0.7,0.2,-85.7,0.6,215.6,3.1
95,B074-G135,10.5335,41.72266667,0.47,346.04,6.4,-0.1128,0.4535,-1.5,0.2,-440.3,0.5,-138.5,3
96,B075-G136,10.53679167,41.33925,0.13,302.27,1.8,-0.111,0.0701,-1.3,0.2,-148.1,0.6,153.2,3.1
97,MITA140,10.539625,41.296,0.11,283.83,1.5,-0.1089,0.0268,-0.2,0.2,-322.8,0.5,-21.6,3
98,B045D,10.541125,41.35402778,0.14,308.23,1.9,-0.1077,0.0848,-0.3,0.3,-299.8,0.9,1.5,3.1
99,B076-G138,10.54266667,41.08944444,0.21,210.76,2.8,-0.107,-0.1797,-1.3,0.2,-537.8,0.5,-236.9,3
100,B077-G139,10.54641667,41.12608333,0.18,216.03,2.4,-0.1041,-0.1431,-0.8,0.2,-583.2,0.6,-282.2,3.1
101,B078-G140,10.55070833,41.29969444,0.11,286.87,1.4,-0.1006,0.0305,-1,0.2,-277.1,2.8,24.1,4.1
102,B080-G141,10.55166667,41.31683333,0.11,295.51,1.5,-0.0998,0.0476,-1.4,0.3,-260.2,0.7,41,3.1
103,B345-G143,10.55883333,40.29347222,0.98,185.61,13.3,-0.0959,-0.9758,-1.5,0.2,-368.4,12.5,-68.6,12.9
104,B462,10.56133333,42.02686111,0.76,353.11,10.4,-0.0916,0.7577,-2.8,0.4,-214.3,23.1,87.8,23.3
105,B082-G144,10.566,41.02066667,0.26,199.8,3.6,-0.0895,-0.2486,-0.7,0.2,-371.6,0.6,-70.8,3.1
106,B083-G146,10.5685,41.75575,0.49,349.91,6.7,-0.0866,0.4865,-1.1,0.2,-347.2,0.6,-45.4,3.1
